StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q41,Q44,Q45,Q43,Q3,Q4,Q21,Q6_1,Q6_2,Q6_3,Q7,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_14_TEXT,Q14,Q50,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12,Q15_1,Q15_2,Q15_3,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q8,Q33,Q34,Q35,Q38,Q31,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q26,Q27,Q48
x,x,x,x,100,67,TRUE,x,R_2vk7e6qX13sXnpX,,,,,32.25030518,-110.9449997,anonymous,EN,,,,,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,x,x
x,x,x,x,100,876,TRUE,x,R_31LyGgxGWVI4xtx,,,,,32.21229553,-110.8789978,anonymous,EN,Definitely yes,Definitely yes,Probably yes,Definitely yes,Unsure,x,x,x,x,No,Yes,x,Somewhat satisfied,Extremely satisfied,Extremely satisfied,,No,No,Unsure,Unsure,No,No,No,No,,No,No,No,Yes,,,Sometimes,x,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Strongly Agree,Agree,x,Somewhat disagree,Somewhat agree,Disagree,2,2,1,4,4,4,3,4,4,2,4,2,1,3,Never,Never,Never,Sometimes,Never,Often,Often,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Might or might not,Stat classes,x,x,x,Cognition and Neural Systems,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,1141,TRUE,x,R_3PYL8fALLigA4nN,,,,,32.25030518,-110.9449997,anonymous,EN,Probably not,Definitely yes,Probably not,Definitely yes,Probably yes,x,x,x,x,Yes,No,x,Neither satisfied nor dissatisfied,Extremely satisfied,Neither satisfied nor dissatisfied,"I feel I have been lucky with which professors I have TA'd for in terms of workload and supportiveness. However, I've heard of some pretty unreasonable workloads from other TAs.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,x,Somewhat agree,Neither agree nor disagree,Somewhat agree,4,3,1,4,2,2,1,2,2,4,4,4,4,3,Never,Never,Never,Sometimes,Never,Never,Sometimes,Agree,,Agree,Strongly agree,Agree,Strongly agree,Disagree,Probably yes,All of my social psych classes have been helpful (for very different reasons).,x,x,x,Social,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly Disagree,Probably yes,x,x
x,x,x,x,100,1578,TRUE,x,R_3Egr7SGIi2FdHXj,,,,,32.4197998,-110.9796982,anonymous,EN,Probably not,Probably yes,Definitely yes,Probably yes,Probably yes,x,x,x,x,No,No,x,Extremely dissatisfied,Somewhat satisfied,Extremely satisfied,Maybe it's just the class I'm a TA for but I spend many hours a week grading papers. ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,x,Somewhat agree,Strongly agree,Agree,4,5,4,5,5,5,4,5,5,4,5,4,5,5,Never,Never,Never,Always,Never,Never,Rarely,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Definitely yes,John's first-year disorder/clinical class was really helpful (I'm a first year so I haven't taken many classes yet),x,x,x,Clinical,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,1968,TRUE,x,R_23dXgAAUDbGQD95,,,,,32.14529419,-110.9456024,anonymous,EN,Definitely yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,No,Yes,x,Extremely satisfied,Extremely satisfied,Extremely satisfied,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Never,x,Agree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,x,Neither agree nor disagree,Agree,Somewhat disagree,4,5,5,5,5,5,5,3,5,5,5,5,5,5,Never,Never,Never,Never,Never,Sometimes,Sometimes,Agree,,Neither agree nor disagree,,Disagree,Strongly Disagree,Strongly Disagree,Probably yes,,x,x,x,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Definitely yes,x,x
x,x,x,x,100,768,TRUE,x,R_2uOQCAudPKXblv5,,,,,32.26989746,-110.9852982,anonymous,EN,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,It has been really uneven across professors.,No,No,Yes,Yes,Yes,No,No,Unsure,No,No,No,No,No,,,Sometimes,x,Disagree,Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,x,Disagree,Disagree,Somewhat agree,3,2,2,2,4,4,3,4,3,4,5,4,2,2,Never,Never,Sometimes,Often,Never,Often,Often,Disagree,,Neither agree nor disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Definitely yes,"Cognitive Psychology, Functional Neuroanatomy",x,x,x,Cognition and Neural Systems,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Probably yes,x,x
x,x,x,x,100,4651,TRUE,x,R_2WTibruqhHahgla,,,,,32.2460022,-110.9177017,anonymous,EN,Definitely yes,Definitely yes,Probably not,Probably yes,Probably yes,x,x,x,x,No,Yes,x,Somewhat dissatisfied,Extremely dissatisfied,Extremely dissatisfied,I have been extremely satisfied with the workload and treatment by professors in all of the TAships I've had for online courses taught by professors who regularly teach online courses. None of my TA experiences have provided training or strengthened my growth as an instructor.,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,,,Often,x,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Agree,x,Agree,Somewhat agree,Somewhat disagree,4,1,2,3,4,1,1,2,2,2,3,5,2,1,Never,Never,Sometimes,Sometimes,Often,Often,Always,Agree,,Agree,Strongly Disagree,Agree,Disagree,Disagree,Probably yes,PSY 502 (Neuroanatomy); PSY 596T (Teaching of Psychology),x,x,x,Cognition and Neural Systems,Strongly agree,Strongly agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Disagree,Definitely yes,x,x
x,x,x,x,100,2735,TRUE,x,R_1EgQ3hwBHX2Cs73,,,,,32.21299744,-110.8279037,anonymous,EN,Definitely not,Definitely yes,Probably yes,Definitely yes,Probably yes,x,x,x,x,Yes,No,x,,,,"N/A, have never been at TA",No,No,Unsure,No,No,No,No,No,Unsure,No,No,No,Unsure,,,Never,x,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,x,Disagree,Somewhat agree,Agree,4,4,2,4,5,3,5,5,4,4,3,4,4,3,Never,Never,Never,Often,Never,Rarely,Sometimes,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Might or might not,"Clinical interventions course, advanced CBT",x,x,x,Clinical,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,4884,TRUE,x,R_2wGirR66z3WEz3g,,,,,32.25030518,-110.9449997,anonymous,EN,Unsure,Probably yes,Probably yes,Probably yes,Probably yes,x,x,x,x,No,Yes,x,Neither satisfied nor dissatisfied,Extremely satisfied,Somewhat satisfied,,No,Yes,Yes,No,No,Yes,Unsure,No,No,No,No,No,No,No,,Never,x,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,x,Disagree,Neither agree nor disagree,Neither agree nor disagree,4,4,4,4,4,4,4,5,4,5,4,5,4,4,Never,Never,Rarely,Never,Never,Often,Often,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Definitely yes,694d with Matt Grilli,x,x,x,Clinical,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,91973,TRUE,x,R_2rA6Bh2kVD5j8XV,,,,,32.25030518,-110.9449997,anonymous,EN,Probably yes,Definitely yes,Unsure,Definitely yes,Probably yes,x,x,x,x,Yes,No,x,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,I think that the disparity in workload for some professors vs. others is really annoying and unpredictable. For some professors there is a ton more work to do for not anymore money and then there are some professors for which people forget that theyre even TAing for them theres so little work. I think more regulation around workload should be implemented.  ,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Unsure,,,All of the time,x,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,x,Agree,Disagree,Agree,3,3,2,5,4,4,5,5,4,3,5,4,4,3,Never,Never,Sometimes,Rarely,Rarely,Sometimes,Always,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Definitely yes,"Psychophysiology, advanced psychopathology, ",x,x,x,Clinical,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,1857,TRUE,x,R_1EYF0tAQcWALfhr,,,,,32.18499756,-110.8171005,anonymous,EN,Probably not,Probably yes,Probably yes,Definitely yes,Unsure,x,x,x,x,Yes,Yes,x,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,"I feel as though no one cares (TA'ing intro psych). I am told to grade leniently and it feels like a way to just make sure everyone (students, teachers, administration) is happy. I have not seen any improvement in students papers but they still get As according to the rubric. It has made me question whether I have any interest in teaching.",No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,,Never,x,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,x,Somewhat agree,Neither agree nor disagree,Disagree,3,3,3,5,4,4,2,3,5,3,5,3,5,3,Never,Never,Never,Sometimes,Never,Sometimes,Always,Disagree,,Agree,,Neither agree nor disagree,Disagree,Strongly Disagree,Definitely not,Statistics with AJ.,x,x,x,Cognition and Neural Systems,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Might or might not,x,x
x,x,x,x,100,1050,TRUE,x,R_2WJuZnEWa5yU8BQ,,,,,32.2460022,-110.9177017,anonymous,EN,Probably yes,Definitely yes,Unsure,Definitely yes,Probably yes,x,x,x,x,Yes,No,x,Extremely satisfied,Somewhat satisfied,Somewhat satisfied,"I think I have had good experiences, but I also select certain professors because I know they are ""good"" to TA for. There are a couple of professors that I have heard can be really unreasonable and difficult to work with. I haven't personally worked with them and I have had a good experience, but only because older students advised me to select certain classes/professors",No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,Rarely,x,Agree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Disagree,Agree,x,Agree,Disagree,Somewhat disagree,3,3,1,4,4,3,2,2,3,2,4,4,2,2,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Disagree,,Strongly agree,Strongly Disagree,Disagree,Agree,Disagree,Definitely yes,The seminar courses offered in my focus area.,x,x,x,Social,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,1641,TRUE,x,R_XBYTV8qlpJLN7MJ,,,,,32.25030518,-110.9449997,anonymous,EN,Unsure,Definitely yes,Probably yes,Definitely yes,Probably yes,x,x,x,x,No,No,x,Somewhat satisfied,Extremely satisfied,Somewhat dissatisfied,I think there is great variability in the workload depending on what your TA assignment is.,No,No,No,No,No,No,No,No,Yes,No,No,No,Unsure,,,Rarely,x,Agree,Agree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Agree,x,Somewhat agree,Neither agree nor disagree,Somewhat disagree,4,4,2,4,3,4,4,4,4,4,4,4,3,4,Never,Never,Sometimes,Often,Never,Always,Sometimes,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Definitely yes,"clinical neuropsych practicum, advanced psychopathology, advanced human memory, cognitive neuroscience seminar",x,x,x,Clinical,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,686,TRUE,x,R_3IXLtilcTuctcJf,,,,,32.24479675,-111.0214005,anonymous,EN,Unsure,Definitely yes,Definitely yes,Definitely yes,Probably yes,x,x,x,x,No,Yes,x,Extremely satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,,Yes,Yes,Yes,No,No,No,No,Yes,Unsure,No,No,No,No,,,Never,x,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,x,Somewhat disagree,Disagree,Somewhat disagree,5,3,1,5,5,4,3,2,4,3,5,4,5,5,Rarely,Never,Never,Sometimes,Never,Often,Often,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,,Disagree,Definitely not,None,x,x,x,Clinical,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,1164,TRUE,x,R_3PGMZCd2GxiGnhG,,,,,35.98060608,-78.84259796,anonymous,EN,Unsure,Definitely yes,Probably yes,Definitely yes,Probably yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Extremely satisfied,Extremely satisfied,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Never,x,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,x,Strongly disagree,Disagree,Disagree,5,5,2,5,5,4,1,2,5,5,5,5,4,1,Never,Never,Never,Often,Never,Rarely,Sometimes,Agree,,Agree,,Disagree,Neither agree nor disagree,Neither agree nor disagree,Might or might not,PSYC 596L,x,x,x,,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,5790,TRUE,x,R_2D22DhnThvZ2sSb,,,,,32.25030518,-110.9449997,anonymous,EN,Probably not,Definitely yes,Definitely yes,Unsure,Definitely yes,x,x,x,x,No,Yes,x,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,"Almost all professors I have TAed for have been wonderful, but I had a terrible experience as a TA for Dana Narter which is why I put ""somewhat dissatisfied"" for the Treatment by Professors question. When I TAed for her, she was rude to TAs, gossiped about them to other TAs, made offensive comments to/about undergraduate students (e.g., made an offensive comment about a student's gender identity), and was generally insensitive/intolerant and difficult to work with.",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,x,Agree,Strongly disagree,Somewhat agree,4,2,2,3,2,2,1,1,4,4,4,4,3,2,Never,Never,Never,Sometimes,Never,Rarely,Sometimes,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Probably yes,"advanced psychopathology (Dr. O'Connor), clinical assessment methods (Dr. Allen), history of psych (Dr. Nadel)",x,x,x,Clinical,Agree,Agree,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,1416,TRUE,x,R_UgyXUrxmic0JAhH,,,,,32.25059509,-110.8840027,anonymous,EN,Probably not,Definitely yes,Probably yes,Definitely yes,Probably yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,"It's more of a necessity than a training or growth opportunity, in my experience. I wish I had more bandwidth to ""grow"" as an instructor, but I can't make it a priority when I have so much else on my plate. ",No,No,Unsure,No,No,No,No,No,No,No,Unsure,No,No,No,,Never,x,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,x,Somewhat agree,Somewhat disagree,Somewhat agree,4,3,2,3,4,3,5,5,4,5,3,4,4,2,Never,Never,Never,Often,Rarely,Rarely,Rarely,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Definitely yes,"Clinical specific classes: John Allen's Assessment Class, Ethics, Psychotherapy Practica, Catherine's Supervision class ",x,x,x,Clinical,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,16166,TRUE,x,R_2QoDmdjzOaSMyLN,,,,,32.25030518,-110.9449997,anonymous,EN,Unsure,Definitely yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,Yes,No,x,Extremely satisfied,Extremely satisfied,Somewhat satisfied,none,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,x,Somewhat agree,Somewhat agree,Somewhat agree,5,5,2,5,5,5,5,5,5,5,5,5,5,4,Never,Never,Never,Often,Never,Rarely,Sometimes,Agree,Agree,Disagree,,Agree,Neither agree nor disagree,Disagree,Probably yes,"621, 582",x,x,x,Clinical,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,1389,TRUE,x,R_2teVh5pDZpbVxFA,,,,,32.25030518,-110.9449997,anonymous,EN,Probably yes,Definitely yes,Probably yes,Probably yes,Definitely yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Extremely satisfied,Somewhat satisfied,grading can get very time consuming and stressful at times,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Disagree,Agree,x,Somewhat agree,Strongly agree,Agree,5,5,4,5,5,5,5,5,5,5,5,5,3,,Never,Never,Never,Always,Never,Rarely,Rarely,Agree,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Probably yes,Teaching of Psych with Julie Feldman,x,x,x,,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,1218,TRUE,x,R_2OVhyoctK3e1Vbo,,,,,32.30979919,-110.9150009,anonymous,EN,Probably not,Definitely yes,Definitely yes,Probably yes,Definitely yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Somewhat satisfied,Extremely dissatisfied,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,not wanting to pursue an academic career,Never,x,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,x,Disagree,Strongly disagree,Somewhat disagree,5,4,1,5,5,5,3,3,3,3,3,5,1,1,Never,Never,Never,Often,Never,Sometimes,Often,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Definitely not,,x,x,x,Clinical,Agree,Agree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,774,TRUE,x,R_32OOr5sU6tTg2WW,,,,,32.25030518,-110.9449997,anonymous,EN,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,Yes,Yes,x,,,,I have not been a TA here.,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Never,x,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,x,Agree,Agree,Somewhat agree,5,5,2,5,5,4,5,5,5,5,5,5,4,5,Never,Never,Never,Always,Never,Never,Often,Strongly agree,,Agree,,Strongly agree,Agree,Disagree,Probably not,"History (Nadel); easy to take for granted, but invaluable for foundational knowledge.",x,x,x,Cognition and Neural Systems,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly Disagree,Probably yes,x,x
x,x,x,x,100,2186,TRUE,x,R_3hhwrOEoWljdFWW,,,,,32.25030518,-110.9449997,anonymous,EN,Unsure,Definitely yes,Definitely not,Definitely yes,Probably not,x,x,x,x,Yes,No,x,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,"It really depends on the professor that you're working for what the workload is. It's also extremely difficult to have multiple days that I could be at school to attend these hour long classes every week (with needing to be at my externship or other commitments). Across the board, I don't think that should be a requirement that we have to attend every single class (maybe just once a week).",Yes,No,Yes,No,No,No,No,No,Unsure,No,No,No,Yes,,,Rarely,x,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,x,Strongly disagree,Strongly disagree,Strongly disagree,2,3,1,2,1,1,2,1,3,2,2,2,1,2,Never,Never,Often,Rarely,Never,Always,Sometimes,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Agree,Probably yes,,x,x,x,Clinical,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Disagree,Agree,Somewhat agree,Agree,Definitely yes,x,x
x,x,x,x,100,952,TRUE,x,R_RyvxEoWGlesQqqt,,,,,32.08389282,-110.9003983,anonymous,EN,Probably not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,Yes,No,x,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,"I feel like the undergrad classes here are too easy, yet it’s frustrating to teach a class and have to lower the standard sometimes so students can get an A or B. ",No,No,No,No,No,No,No,No,No,No,No,No,No,,,Never,x,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,x,Strongly agree,Strongly agree,Somewhat agree,5,5,5,5,5,5,5,5,5,5,5,5,3,5,Never,Never,Never,Always,Always,Often,Never,Disagree,,Neither agree nor disagree,,Neither agree nor disagree,Disagree,,Definitely not,John Allen’s electrophysiology class,x,x,x,Cognition and Neural Systems,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,77075,TRUE,x,R_28CFA5SmVaX2j4h,,,,,32.24479675,-111.0214005,anonymous,EN,Unsure,Definitely yes,Definitely yes,Unsure,Probably yes,x,x,x,x,No,Yes,x,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,x,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,5,3,5,4,4,1,3,5,2,5,1,2,3,Never,Never,Never,Sometimes,Never,Never,Always,Strongly agree,Strongly agree,Agree,Agree,Agree,,Agree,Might or might not,CBT/ACT; Supervision,x,x,x,Clinical,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Probably yes,x,x
x,x,x,x,100,2202,TRUE,x,R_3dEVRciFAoL3b3i,,,,,32.41299438,-110.9420013,anonymous,EN,Probably not,Probably yes,Probably yes,Probably not,Probably yes,x,x,x,x,No,Yes,x,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,"There are some weeks where I invest 10 hours - some where I invest 30. It would be manageable if it were more even - 20 hours of realistic work per week. When it's sometimes less, sometimes more it can get unmanageable. ",No,No,Yes,No,No,Unsure,No,Unsure,Yes,No,No,No,No,Yes,Area of Research Interests,Sometimes,x,Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Agree,x,Somewhat agree,Agree,Somewhat disagree,4,5,4,4,3,4,3,2,5,2,3,3,2,4,Never,Never,Never,Rarely,Never,Sometimes,Often,Agree,,Disagree,Disagree,Agree,Agree,Agree,Definitely yes,"PSY510, PSY507a/b, PSY531, the Teaching of Psychology course ",x,x,x,Cognition and Neural Systems,Agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Probably yes,x,x
x,x,x,x,100,866,TRUE,x,R_2v0n29wTpEDfhCM,,,,,32.26989746,-110.9852982,anonymous,EN,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,,Unsure,No,Yes,Yes,Yes,No,Unsure,No,No,No,No,No,No,No,,Rarely,x,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,x,Strongly disagree,Strongly disagree,Strongly disagree,1,5,1,3,3,3,2,2,3,2,2,3,4,3,Never,Never,Sometimes,Rarely,Never,Always,Often,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Probably not,Advanced CBT,x,x,x,Clinical,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Disagree,Probably yes,x,x
